SP,noSP,sub
139.61641,95.387566,44.228844
180.22215,139.18329,41.03886
176.20299,117.56631,58.63668
82.0558,57.773243,24.282557
185.9564,119.07082,66.88558
39.196434,19.056246,20.140188
118.76965,80.50898,38.26067
329.55942,243.77824,85.78118
82.50397,66.30463,16.19934
48.75587,27.015272,21.740598
107.016785,54.072884,52.943901
130.67229,96.588356,34.083934
108.585045,58.343258,50.241787
164.84053,114.05853,50.782
173.03354,114.7631,58.27044
120.79575,73.03656,47.75919
73.81075,40.89774,32.91301
165.95384,133.06615,32.88769
162.07993,117.98626,44.09367
68.36063,45.51003,22.8506
171.8458,108.50944,63.33636
178.52734,126.045815,52.481525
133.86177,83.78473,50.07704
90.85336,46.463234,44.390126
130.20172,83.20064,47.00108
234.4178,166.40106,68.01674
191.69778,126.9029,64.79488
222.33397,158.53383,63.80014
116.27176,76.13617,40.13559
166.10915,107.95473,58.15442
164.98915,102.12033,62.86882
142.28587,95.02302,47.26285
196.71902,136.3357,60.38332
140.47041,88.881966,51.588444
117.49049,66.97012,50.52037
194.89073,130.65712,64.23361
277.7896,218.61969,59.16991
349.56274,275.04587,74.51687
117.06117,99.88543,17.17574
112.5359,62.83771,49.69819
162.66551,114.497406,48.168104
176.24664,114.37547,61.87117
173.8779,131.86943,42.00847
187.14503,115.705826,71.439204
347.02045,297.27805,49.7424
220.14534,146.93315,73.21219
180.68144,104.58055,76.10089
185.01022,121.00569,64.00453
112.217186,60.3214,51.895786
370.40775,327.12933,43.27842
121.62266,75.82621,45.79645
131.78885,70.48372,61.30513
76.730804,36.404095,40.326709
87.86999,65.42382,22.44617
192.53949,144.01688,48.52261
143.57367,104.90211,38.67156
199.9944,146.52765,53.46675
204.67624,143.68283,60.99341
153.12747,91.343155,61.784315
146.11736,88.27598,57.84138
227.71228,164.97046,62.74182
191.19682,133.77226,57.42456
204.06044,170.7496,33.31084
103.916374,51.3731,52.543274
128.20624,88.291435,39.914805
286.8249,221.43329,65.39161
56.803413,22.163855,34.639558
251.97878,188.11873,63.86005
194.06856,130.01344,64.05512
91.78069,50.735214,41.045476
285.87616,247.10777,38.76839
121.00548,68.58344,52.42204
122.71971,87.81074,34.90897
92.16654,43.060234,49.106306
127.223625,95.48251,31.741115
238.49606,168.6601,69.83596
210.17325,142.94548,67.22777
138.60048,90.568565,48.031915
131.31073,104.08517,27.22556
205.18312,145.28957,59.89355
160.9315,97.063866,63.867634
238.59222,188.62602,49.9662
193.41551,135.92006,57.49545
114.87097,82.79937,32.0716
107.97008,69.265305,38.704775
137.68924,93.19512,44.49412
178.5925,117.32309,61.26941
288.3587,272.96344,15.39526
220.82556,158.12682,62.69874
150.64197,89.78853,60.85344
141.10504,75.65648,65.44856
144.75403,88.38514,56.36889
125.594666,89.31784,36.276826
103.23474,78.677155,24.557585
134.26837,80.82004,53.44833
170.43004,110.0387,60.39134
201.37321,128.46353,72.90968
304.86737,262.53745,42.32992
155.69197,94.19139,61.50058
107.542816,82.17722,25.365596
157.44226,123.686584,33.755676
144.02026,88.229546,55.790714
158.68031,118.62477,40.05554
214.76773,142.21448,72.55325
213.54366,171.99371,41.54995
113.920685,80.93531,32.985375
210.97229,158.81711,52.15518
168.2786,120.68107,47.59753
105.72118,56.121002,49.600178
262.2086,199.88377,62.32483
185.11821,112.69264,72.42557
168.35559,122.99814,45.35745
89.93218,48.760593,41.171587
178.17386,126.77584,51.39802
131.14381,86.53158,44.61223
128.04167,73.88986,54.15181
120.59768,73.2943,47.30338
115.3083,65.40529,49.90301
189.707,142.23878,47.46822
209.74043,145.33328,64.40715
66.567024,31.914644,34.65238
143.21729,86.55996,56.65733
150.22531,92.327354,57.897956
115.36636,66.865524,48.500836
142.9167,73.34266,69.57404
312.45523,250.16501,62.29022
96.51864,59.026962,37.491678
126.202484,76.11889,50.083594
131.09393,87.62612,43.46781
130.89775,74.1724,56.72535
153.42801,84.69934,68.72867
168.00655,109.94482,58.06173
132.84755,79.72731,53.12024
127.402954,82.61504,44.787914
167.9273,107.89444,60.03286
157.03607,86.59724,70.43883
289.29306,243.63072,45.66234
75.86038,37.339855,38.520525
151.48038,94.50643,56.97395
96.70895,77.74311,18.96584
143.77225,87.00937,56.76288
132.61354,68.85003,63.76351
76.08867,38.950535,37.138135
106.523964,80.0803,26.443664
115.56539,73.10659,42.4588
109.85008,88.7955,21.05458
150.12428,91.4644,58.65988
186.42732,133.16394,53.26338
172.77365,110.071724,62.701926
86.95473,49.469307,37.485423
167.86356,126.32,41.54356
159.66844,107.95626,51.71218
123.4719,81.887024,41.584876
124.45925,65.237946,59.221304
123.463486,72.18889,51.274596
85.33806,48.364704,36.973356
126.49614,95.175644,31.320496
160.39542,98.99133,61.40409
270.2044,203.5653,66.6391
