SP,noSP
13.566575,10.117383
5.770964,4.163965
10.56827,7.782445
10.709492,8.947606
9.675973,7.5133276
11.846449,10.40938
4.254604,3.9222517
10.187221,8.433119
9.369291,6.448765
6.7948966,7.7808557
14.816076,11.661204
5.300839,5.766344
9.728346,9.598012
5.3211207,4.970296
12.492903,9.930742
11.94717,10.195848
5.092723,4.4963555
11.333308,8.823488
9.362096,6.604044
6.063308,5.1077275
6.181175,4.150216
10.444826,8.229344
12.114339,9.807867
13.678729,11.200967
12.568205,8.8995
2.2615135,2.2257988
11.817683,8.989506
9.097795,7.01099
9.13881,6.0922465
11.801862,9.619556
9.362985,7.095099
10.536034,8.244037
9.757184,9.792993
7.0584097,6.5657663
11.360465,9.086519
13.804917,9.715248
13.377383,10.603868
6.1578407,4.599894
5.8360305,4.6562796
6.3632283,4.977105
10.979061,8.290673
13.145826,11.578746
11.407959,9.717456
10.423143,7.7034783
7.344962,5.670295
6.924172,5.1575804
10.261035,8.48914
9.494518,7.8975787
8.329584,7.04432
9.0481415,6.3963156
10.621387,9.700223
16.971668,13.776305
5.7627935,5.1757407
10.113389,8.438629
9.179268,6.082055
8.467046,5.882417
10.671254,7.6450934
7.9992905,6.1168747
7.1192794,5.9793706
8.946963,5.660867
10.392947,9.002579
6.781065,5.488349
7.560778,6.6859016
8.906543,6.673581
10.066344,7.3459725
13.460527,10.701245
15.368946,12.288048
7.66549,6.4146676
16.089659,12.823409
7.9860444,6.5841904
5.5188694,4.9661913
8.108721,5.860969
13.033074,10.824304
8.999943,6.5399966
5.8945503,4.7258115
8.748846,7.297921
8.821528,7.1433787
6.3165402,7.801897
11.181101,8.738412
10.644696,8.196663
8.620894,7.1567144
4.6919785,4.5274324
9.949142,10.415617
4.454252,4.762711
9.613918,8.738266
14.358574,10.735754
12.427233,11.076248
4.900897,3.7876647
5.835789,5.6266108
13.097827,11.412144
5.288331,5.1506023
16.651268,13.143533
12.540381,9.796402
10.047718,8.086295
7.817665,5.4444966
13.925427,10.570688
8.840868,7.721676
7.4510393,6.197946
9.091851,7.662584
9.687704,9.344378
12.393379,9.908883
10.945736,7.216434
6.7882614,5.0332174
3.666926,3.9304264
11.735805,10.311115
10.294287,8.065608
13.56544,11.120251
11.589051,9.970889
8.113405,5.264456
8.549154,7.0704165
7.84396,6.9739776
9.029298,7.4459677
8.704254,7.354738
10.882155,7.845267
5.7472143,6.6127687
12.633422,10.855622
16.742058,13.214685
13.71146,11.5143
9.513368,7.8089104
10.502218,9.896148
9.017979,7.0052066
5.9673686,5.443655
3.3763175,3.062243
10.596598,8.246395
13.090496,10.648221
12.739289,9.914963
5.6436925,5.003427
8.5782,6.7386475
10.141881,8.698664
6.5466905,5.1400843
5.616923,5.4855394
13.885313,8.06363
8.9693985,5.5483146
10.474226,7.0665917
15.915566,13.132521
9.064032,7.0479383
11.197175,9.324145
7.819879,6.2196164
5.5713224,4.297945
10.767202,7.6490407
5.9368525,5.072599
9.952571,6.960411
8.769652,7.2019057
6.897561,6.277264
12.19255,9.462984
9.559395,9.386427
11.309539,9.068143
2.9945228,4.1756053
15.076482,11.638244
9.713278,7.678079
10.209883,8.347929
12.396841,12.118385
9.125143,8.178175
10.728745,8.335043
10.651316,8.464278
8.966506,7.9428782
15.63208,12.017815
9.526256,8.193957
10.808977,9.321844
12.41937,10.317171
9.781483,8.146741
8.062405,6.444936
9.339691,7.489068
11.527637,9.588168
8.151342,5.673639
15.526903,12.432742
5.650956,5.6026726
6.570759,4.0888505
11.984303,8.709736
8.410659,7.490162
9.070403,6.0737653
12.166137,9.042836
16.716963,13.319243
6.200939,4.0386343
8.4391365,7.694762
9.585573,6.4662952
8.264188,7.2585554
7.505946,6.325625
7.3941503,6.744058
5.6203976,4.743585
11.374398,8.444398
9.400564,8.948774
12.7669115,10.639988
18.089222,15.594391
9.843577,6.523472
13.177751,9.787517
7.340828,7.085263
9.129082,5.0812545
9.676753,8.33966
10.756507,8.1471195
11.34995,9.840438
10.712828,7.71113
12.0786295,9.874276
15.050103,13.2243
10.899081,8.358788
9.271167,9.222508
14.215588,11.13953
16.221115,11.868597
18.185467,14.589992
12.867355,9.198586
10.163768,8.571026
8.749028,9.248123
11.456209,8.780794
10.081236,8.200545
11.927114,9.191819
10.98439,8.3666115
12.621729,10.056511
3.1520822,2.0824912
8.004003,7.342368
13.298932,11.535342
17.098236,12.440318
8.876975,7.0658336
7.9513526,6.3397746
10.368727,8.764454
9.2847805,8.427179
9.120447,7.014737
12.657228,10.659644
14.431862,11.112898
12.266198,9.461588
8.555255,7.661136
11.938818,8.655475
9.988084,7.112275
11.343666,8.918596
6.7158136,4.5666256
7.582301,5.296587
11.424489,8.651259
10.381886,8.53383
14.859999,11.166435
11.518339,8.509553
15.671273,11.373275
11.000926,8.684334
14.92163,11.654071
11.655539,8.955171
10.831104,8.399388
7.8262753,6.476297
10.685537,7.618884
6.733733,4.905173
9.529043,7.1955285
8.32946,8.052915
10.697379,9.6755
7.432811,6.415607
18.846642,16.000816
19.649593,15.978225
9.676994,7.235742
16.153992,13.023694
11.55502,9.8641
10.544668,8.701068
8.544198,6.5269284
8.279485,7.5736628
16.83648,12.914603
13.904746,12.172458
10.585738,8.499917
8.599086,8.377441
9.265978,8.735501
11.949247,10.9532995
10.02958,7.738856
9.979733,8.787556
4.0235205,3.35423
9.362079,8.56997
10.719772,9.386484
14.53553,12.017245
10.528107,8.632852
6.2407665,4.9154406
16.410307,13.406727
7.1835785,6.403706
8.381327,7.181775
9.675911,7.3862133
12.021268,10.256857
10.338452,8.935234
14.006529,11.661543
13.382217,9.55812
9.705691,8.209791
11.454511,9.748939
16.550669,13.23982
10.879404,8.891335
8.303589,6.0667334
12.059819,7.8522806
15.569846,12.141283
12.963835,10.487417
18.183575,14.741429
14.108889,11.813655
10.596317,8.153919
12.606609,11.526158
12.772621,9.40086
11.100308,11.185041
8.080144,7.6144814
10.258723,7.718922
7.878114,6.628127
12.750205,10.511666
13.800049,12.207235
11.826492,9.123584
8.159642,5.610137
19.288918,16.303106
12.10277,10.352181
10.462662,8.09069
13.412642,10.851233
11.866739,10.377387
13.76247,10.476766
10.594121,9.936855
10.729015,7.9398594
5.8357,6.2760196
10.660573,8.750148
8.355025,8.1364355
17.496761,14.229703
11.916996,8.949066
11.234614,8.44366
11.223175,10.129901
11.49044,9.216453
9.940195,8.086964
9.730907,7.1771746
14.753724,11.114255
5.9546533,4.8757677
5.033362,5.3039274
9.718244,6.8140926
10.050268,9.195534
10.6290865,8.877235
9.802021,7.43435
13.366844,9.248959
14.169453,11.091989
9.53266,8.096321
14.5872965,12.121351
13.329658,9.507143
11.91933,9.488347
12.393841,10.779735
13.764693,12.464981
9.414072,8.358476
10.767735,7.7273054
10.605122,7.8314366
10.339762,8.217789
11.84968,9.407153
5.754883,4.8639503
7.210153,7.1552396
5.173988,5.6131496
12.675269,10.319457
12.045458,8.63924
3.7059767,4.3701463
4.8376417,3.7136683
14.414344,11.671907
11.005139,8.324287
8.720931,6.451076
15.922398,12.104769
10.246708,7.126331
9.041506,7.68854
13.005285,10.160092
7.3061275,6.1531086
9.615175,7.176944
8.839411,8.349296
17.926853,14.093768
7.443825,6.106421
10.7765255,9.358147
10.551907,8.643012
11.307836,7.8899317
12.397886,9.694143
6.845531,4.4836545
12.443506,9.930002
7.06493,6.531809
13.143181,10.21203
10.322653,8.996604
12.592865,9.232687
5.176028,3.380014
6.480544,5.6687393
8.342683,6.0504365
6.0106535,3.9174314
9.752681,8.231798
8.1227665,5.299896
11.149051,9.798133
9.994091,6.2602086
10.194886,7.5795217
11.887007,10.777869
7.8120193,5.6725063
9.334919,7.4752436
8.137202,5.765549
10.690672,7.61023
12.434802,9.29258
7.897273,5.905824
11.372396,8.610615
8.446138,7.978218
12.437445,10.048915
12.848329,9.496679
9.805094,7.948797
11.535328,10.070082
7.0559773,5.0232415
5.4992347,3.938844
11.444268,8.989878
7.4330034,6.4872794
8.634232,6.9027686
8.504412,7.7363877
10.875797,8.09465
9.999186,8.104976
2.9186578,4.5047455
15.375179,12.104256
6.544206,5.688915
13.187472,10.539383
10.417825,7.5914555
6.7544785,5.3426123
4.7125998,4.810053
8.005419,7.09734
7.971467,4.337795
13.03533,10.418369
9.023315,6.6976004
7.207174,5.6175313
11.396114,10.057935
8.644249,6.7500806
10.351989,7.0846868
7.337883,7.6093035
9.607611,8.322532
