SP,noSP
4.1993384,3.7299836
5.1967072,4.7911296
4.7454867,4.847747
3.698544,3.5815833
4.8368993,4.24172
4.8265986,4.7427588
4.4473405,3.9204366
3.5942838,3.4822457
4.4344606,4.029575
5.1025815,4.780981
4.7750673,4.489471
4.460089,4.4327707
5.2965493,4.911121
5.4850106,5.083285
5.6775713,5.3884625
3.087042,2.9540594
6.7380595,6.0542183
4.252964,4.0282087
4.9675555,4.7142143
4.81677,4.461213
4.5338197,4.4650784
6.2311263,5.6561084
4.904675,4.5311065
5.651395,5.2151327
4.5890503,4.3123813
5.2622676,5.243748
5.161279,4.576145
4.6827617,4.5626106
4.403194,3.9561114
4.9442005,4.910496
5.0341496,4.6253433
6.5147214,6.0271816
4.336066,3.8518567
6.564146,5.8482413
5.997515,5.2931247
5.679515,5.167326
4.9690256,4.4128733
3.9174926,4.06688
4.422373,4.4814763
7.3061543,6.568347
5.272284,4.8071637
8.058164,7.385537
4.861143,4.824417
3.6458607,3.3049018
4.679555,4.4175825
3.2159712,3.1184945
3.528999,3.3604207
6.8840523,5.801828
4.384874,4.4761024
6.2868333,5.5260406
4.0093226,3.8188262
5.4210215,5.2058105
4.6267104,4.541583
5.7504086,5.354035
4.91253,4.564293
4.2704067,4.1188326
6.0772457,5.466125
5.82804,5.3913326
5.008,4.8208466
4.4339633,3.6895936
4.555605,4.211255
4.203499,4.11623
4.088608,3.8718092
6.025045,5.785899
7.3169994,6.796434
7.2967076,7.0815434
4.6436634,4.4945416
3.6912968,3.6557677
4.712972,4.2633514
4.0756545,3.7611396
5.134075,4.717425
3.1140718,2.880414
6.136295,5.442164
5.7456784,5.0821877
3.9021974,3.8456416
6.187578,5.695269
3.3304205,3.191741
5.931748,5.320378
4.754728,4.7011857
3.97342,3.776145
5.794624,5.4098516
5.902207,5.810532
5.1128902,4.874878
5.381841,5.2420406
5.5524054,5.1585507
4.5825872,3.9823575
4.53318,4.4576025
4.242295,3.9406304
4.706513,4.333994
4.5069513,4.180079
5.3075495,4.9762053
5.207729,4.660908
4.155706,4.0020857
4.130508,3.7128828
5.223051,4.6950626
4.8812623,4.659141
4.449493,4.318933
7.060929,6.644108
5.884191,5.489663
5.7230678,5.713593
4.7156405,4.445297
4.24372,4.2898107
4.0081034,3.603894
3.460553,3.3251445
4.4787273,4.3375826
5.8797474,5.146398
4.332583,4.049913
5.458097,4.8053336
4.6000605,4.278998
4.798577,4.94789
3.9003067,3.9299905
5.0528474,4.690388
6.1284027,6.093016
5.76768,5.0945816
2.7337642,2.5160694
3.4575567,3.1467712
5.3656864,4.7740235
5.657747,5.361997
6.9982877,6.6013417
8.084219,7.4028525
4.537851,4.346998
4.963838,4.725926
3.7262046,3.3861473
3.713477,3.335473
3.1239367,2.7096283
3.9532056,3.9135737
2.9945235,2.8459644
4.18445,3.8338158
6.3019066,5.339499
6.1258755,5.4887815
4.466625,3.8582535
5.3480916,4.916763
4.1796017,3.7966306
3.77759,3.8896415
3.6925783,3.3048599
4.0974183,3.9871109
4.868803,4.5603924
5.5207944,5.0162706
3.1214902,2.9888837
4.324848,4.108701
4.5950713,4.248785
6.036807,5.5419846
4.262186,4.199655
4.651118,4.174771
4.5786886,4.159832
5.533395,5.24147
6.0133247,5.888861
4.9789033,4.3926325
5.5364065,5.031039
5.820948,5.189759
5.140728,4.488239
4.2485976,4.2777095
4.0725183,3.695351
6.37572,5.999135
4.2816706,4.2282367
4.7037773,4.583111
3.8900313,3.750029
5.5818944,5.2074423
5.4976773,5.0684705
4.498977,3.928447
6.9161873,6.6925697
5.4450316,4.9222655
7.410834,7.053968
4.0998073,4.253106
7.343382,6.721985
4.269213,3.8693507
4.9867764,4.8478093
5.446819,5.2048235
4.471298,4.340726
5.7041802,4.9661503
5.4388165,4.921183
6.5305777,5.9528117
3.9356494,3.497315
3.719354,3.6291602
4.6845584,4.6884985
3.8901446,3.6633654
7.047957,6.301962
5.5465293,5.0398636
5.25667,5.4094844
4.786938,4.287667
6.316782,6.135126
6.2269254,5.695798
4.42411,4.3034883
5.8641095,5.274866
4.1932144,3.623856
4.7170854,4.3538866
3.938349,3.5845585
5.788481,5.8700914
5.680291,5.192113
5.5499682,5.375323
6.5127616,6.295701
3.7147348,3.2951105
5.7073555,5.352428
4.574936,4.341191
5.357707,4.6722255
4.789466,4.7240214
5.343836,4.998177
5.426473,4.898211
5.651351,5.4676147
3.6533349,3.3400006
5.557115,4.9033065
4.1070585,4.086799
4.770586,4.384753
2.8855078,2.806091
4.689946,4.3115916
5.3328104,4.951523
6.406589,5.7679696
4.45488,4.5422583
4.068687,3.6529453
4.2164063,4.1164794
5.0516534,4.873136
4.967509,4.472513
4.006104,3.920337
5.0162807,5.0265822
5.0364213,4.602088
6.2712164,5.8564677
6.3699927,6.022115
3.880732,3.7042763
4.294475,4.3563614
3.6049984,3.4905605
7.0866866,6.562452
4.723344,4.386696
4.2626185,4.062535
5.8030953,5.412542
4.088044,4.049745
4.4707804,3.9644659
5.2825327,5.3294044
3.5643528,3.819532
6.6937594,6.0836062
5.430879,5.243787
4.2537756,4.0240984
4.2480845,3.5649333
4.9043856,4.4171896
4.337238,4.2285213
5.1220994,4.474389
4.125206,4.11476
5.263307,5.0172315
5.717358,5.542782
4.6562037,4.345379
3.417378,3.2038288
4.7922616,4.3526516
4.599505,4.2421
6.0663652,5.790633
4.5546246,4.1583757
4.624774,4.6545663
5.6416626,5.161275
4.940994,4.813499
3.9855125,3.9678679
4.2901874,4.1567097
5.320814,5.134385
4.6606383,4.1677594
5.662442,5.291043
5.651545,5.145231
6.690671,6.112592
3.4407856,3.2927217
4.1797876,4.025971
4.3821483,3.9424565
3.8931177,3.6728144
5.5601377,4.9713516
5.947512,5.708589
4.6426945,4.582521
3.0000386,2.8268442
6.2167544,5.5197234
5.180425,4.7535768
4.527366,4.288665
3.6023173,3.4922714
4.8409033,5.023195
4.5302773,4.4033184
2.6403198,2.5915885
5.483773,4.613016
5.7184668,5.1555524
4.355001,4.007305
3.8195772,3.6936638
6.1011243,5.682284
4.4715614,4.2452874
5.341713,4.9728055
6.0008492,5.625384
5.1424365,4.8170404
5.177587,4.821867
3.7583497,3.3009396
5.1420984,4.7007813
4.5517354,4.6428866
6.663058,6.3798394
5.268444,5.2665467
4.87876,4.4164443
4.9199414,4.7295666
4.6558414,4.799499
6.226448,5.7102065
4.5836315,4.442625
4.542059,4.142967
4.044801,3.7753763
6.920249,6.0769444
5.2449765,4.9208527
5.5127788,5.445846
6.3294115,5.4991536
4.3338914,3.8195894
3.1648736,2.8385441
3.9820225,3.9618754
4.079245,3.83968
6.581985,5.961193
7.21297,6.5496593
5.78825,5.8310175
4.7509794,4.2042303
5.049548,4.7341056
5.2361927,5.0909977
6.254998,5.708754
4.103978,3.8219755
3.5045276,3.5248663
5.053214,3.984459
5.4168167,5.2553377
7.7029266,7.0924325
5.5694137,5.554055
4.5762954,4.0938406
6.8029633,6.3644767
7.595493,7.206923
3.8042512,3.7568119
